id,width,length,height,weight,descripcion
123252,12.0,10.0,21.0,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM
122741,38.0,34.0,11.0,1.0,COLCHA POLIESTER CORINTO 90 VERDE
124564,7.0,7.0,27.0,0.16,PLANTA ARTIFICIAL LIMONERO 27CM
105498,38.0,26.0,4.0,0.5,VISILLO 140X250 SELENA GRIS
116150,23.0,17.0,6.5,0.3,2/2-MOOD PIE MESA BLANCO
108121,33.0,25.0,4.5,1.5,FUNDA NORDICA ALGODON 150 MARTINA
121287,32.0,16.0,32.0,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA
121872,16.0,8.0,26.0,0.7,CUBERTERIA SILVER BLACK 16 PIEZAS
123166,38.0,22.0,27.0,3.5,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B
117028,42.0,20.0,38.0,5.0,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR
118283,26.0,22.0,43.0,1.5,EDREDON POLIESTER 150 PRAGA
121683,32.0,6.0,32.0,0.75,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM
