id,width,length,height,weight,descripcion
1,36.9,33.0,10.7,1.0,COLCHA POLIESTER CORINTO 90 VERDE (variación 7)
2,35.3,31.6,10.2,0.9,COLCHA POLIESTER CORINTO 90 VERDE (variación 1)
3,33.3,19.3,23.6,3.1,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B (variación 1)
4,6.2,6.2,23.8,0.1,PLANTA ARTIFICIAL LIMONERO 27CM (variación 5)
5,12.6,10.5,22.0,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM (variación 5)
6,24.7,20.9,40.9,1.4,EDREDON POLIESTER 150 PRAGA (variación 7)
7,35.3,31.6,10.2,0.9,COLCHA POLIESTER CORINTO 90 VERDE (variación 4)
8,23.3,17.2,6.6,0.3,2/2-MOOD PIE MESA BLANCO (variación 2)
9,37.1,28.1,5.1,1.7,FUNDA NORDICA ALGODON 150 MARTINA (variación 5)
10,13.9,6.9,22.6,0.6,CUBERTERIA SILVER BLACK 16 PIEZAS (variación 6)
11,22.7,16.8,6.4,0.3,2/2-MOOD PIE MESA BLANCO (variación 7)
12,22.5,16.7,6.4,0.3,2/2-MOOD PIE MESA BLANCO (variación 6)
13,20.3,15.0,5.7,0.3,2/2-MOOD PIE MESA BLANCO (variación 5)
14,7.3,7.3,28.0,0.2,PLANTA ARTIFICIAL LIMONERO 27CM (variación 6)
15,27.9,5.2,27.9,0.7,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM (variación 3)
16,29.9,25.3,49.4,1.7,EDREDON POLIESTER 150 PRAGA (variación 1)
17,38.6,22.3,27.4,3.6,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B (variación 8)
18,6.0,6.0,23.3,0.1,PLANTA ARTIFICIAL LIMONERO 27CM (variación 4)
19,7.6,7.6,29.4,0.2,PLANTA ARTIFICIAL LIMONERO 27CM (variación 7)
20,13.4,11.1,23.4,0.6,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM (variación 3)
21,34.5,17.3,34.5,3.2,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA (variación 3)
22,26.1,19.3,7.4,0.3,2/2-MOOD PIE MESA BLANCO (variación 8)
23,39.0,18.6,35.3,4.6,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR (variación 1)
24,38.2,18.2,34.6,4.6,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR (variación 7)
25,33.0,25.0,4.5,1.5,FUNDA NORDICA ALGODON 150 MARTINA (variación 3)
26,29.3,5.5,29.3,0.7,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM (variación 2)
27,27.9,5.2,27.9,0.7,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM (variación 8)
28,43.4,29.7,4.6,0.6,VISILLO 140X250 SELENA GRIS (variación 5)
29,13.6,11.3,23.8,0.6,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM (variación 2)
30,31.0,23.5,4.2,1.4,FUNDA NORDICA ALGODON 150 MARTINA (variación 7)
31,33.8,19.5,24.0,3.1,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B (variación 6)
32,24.3,17.9,6.9,0.3,2/2-MOOD PIE MESA BLANCO (variación 1)
33,34.4,26.0,4.7,1.6,FUNDA NORDICA ALGODON 150 MARTINA (variación 8)
34,28.7,14.3,28.7,2.7,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA (variación 2)
35,36.7,27.8,5.0,1.7,FUNDA NORDICA ALGODON 150 MARTINA (variación 1)
36,18.1,9.1,29.5,0.8,CUBERTERIA SILVER BLACK 16 PIEZAS (variación 8)
37,37.8,21.9,26.9,3.5,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B (variación 2)
38,39.6,18.9,35.9,4.7,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR (variación 8)
39,38.4,18.3,34.7,4.6,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR (variación extra)
40,38.3,26.2,4.0,0.5,VISILLO 140X250 SELENA GRIS (variación 4)
41,6.1,6.1,23.7,0.1,PLANTA ARTIFICIAL LIMONERO 27CM (variación 3)
42,42.1,28.8,4.4,0.6,VISILLO 140X250 SELENA GRIS (variación 6)
43,8.0,8.0,31.0,0.2,PLANTA ARTIFICIAL LIMONERO 27CM (variación 1)
44,29.4,5.5,29.4,0.7,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM (variación 1)
45,17.8,8.9,29.0,0.8,CUBERTERIA SILVER BLACK 16 PIEZAS (variación 3)
46,41.0,19.5,37.1,4.9,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR (variación 3)
47,41.0,23.7,29.1,3.8,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B (variación 4)
48,17.8,8.9,28.9,0.8,CUBERTERIA SILVER BLACK 16 PIEZAS (variación 7)
49,36.7,25.1,3.9,0.5,VISILLO 140X250 SELENA GRIS (variación 2)
50,44.9,21.4,40.6,5.3,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR (variación 6)
51,32.4,22.2,3.4,0.4,VISILLO 140X250 SELENA GRIS (variación 7)
52,33.1,19.2,23.5,3.0,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B (variación 3)
53,43.7,29.9,4.6,0.6,VISILLO 140X250 SELENA GRIS (variación 3)
54,38.7,34.6,11.2,1.0,COLCHA POLIESTER CORINTO 90 VERDE (variación 3)
55,34.8,31.1,10.1,0.9,COLCHA POLIESTER CORINTO 90 VERDE (variación 8)
56,37.7,21.8,26.8,3.5,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B (variación 7)
57,33.0,16.5,33.0,3.1,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA (variación 1)
58,11.6,9.7,20.3,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM (variación 6)
59,11.0,9.1,19.2,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM (variación 1)
60,32.3,16.1,32.3,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA (variación 6)
61,21.4,15.8,6.0,0.3,2/2-MOOD PIE MESA BLANCO (variación 3)
62,30.7,23.2,4.2,1.4,FUNDA NORDICA ALGODON 150 MARTINA (variación 2)
63,11.3,9.4,19.8,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM (variación 4)
64,27.2,23.0,44.9,1.6,EDREDON POLIESTER 150 PRAGA (variación 2)
65,13.7,6.8,22.3,0.6,CUBERTERIA SILVER BLACK 16 PIEZAS (variación 1)
66,35.1,31.4,10.2,0.9,COLCHA POLIESTER CORINTO 90 VERDE (variación 2)
67,42.5,20.2,38.4,5.1,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR (variación 5)
68,23.9,20.2,39.4,1.4,EDREDON POLIESTER 150 PRAGA (variación 6)
69,24.0,17.7,6.8,0.3,2/2-MOOD PIE MESA BLANCO (variación 4)
70,6.8,6.8,26.4,0.2,PLANTA ARTIFICIAL LIMONERO 27CM (variación 8)
71,26.7,22.6,44.1,1.5,EDREDON POLIESTER 150 PRAGA (variación 8)
72,7.0,7.0,27.1,0.2,PLANTA ARTIFICIAL LIMONERO 27CM (variación 2)
73,18.1,9.0,29.3,0.8,CUBERTERIA SILVER BLACK 16 PIEZAS (variación 2)
74,41.0,23.8,29.2,3.8,CENTRO PLANCHADO TAURUS SLIDING PERFECT 2800 LIMITADO AZUL B (variación 5)
75,38.4,18.3,34.7,4.6,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR (variación 4)
76,35.9,6.7,35.9,0.8,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM (variación 6)
77,21.2,15.7,6.0,0.3,2/2-MOOD PIE MESA BLANCO (variación extra)
78,42.5,38.1,12.3,1.1,COLCHA POLIESTER CORINTO 90 VERDE (variación 6)
79,29.8,22.6,4.1,1.4,FUNDA NORDICA ALGODON 150 MARTINA (variación 4)
80,32.4,16.2,32.4,3.0,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA (variación 4)
81,11.9,9.9,20.7,0.5,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM (variación 8)
82,33.3,6.2,33.3,0.8,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM (variación 4)
83,25.5,21.6,42.2,1.5,EDREDON POLIESTER 150 PRAGA (variación 3)
84,26.1,22.1,43.2,1.5,EDREDON POLIESTER 150 PRAGA (variación 4)
85,13.5,11.2,23.6,0.6,LAMPARA SOBREMESA SOFT NORMAL E14 1 LUZ 6W 12X12X22 CM (variación 7)
86,17.6,8.8,28.6,0.8,CUBERTERIA SILVER BLACK 16 PIEZAS (variación 4)
87,35.5,6.6,35.5,0.8,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM (variación 7)
88,27.2,13.6,27.2,2.6,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA (variación 7)
89,36.7,27.8,5.0,1.7,FUNDA NORDICA ALGODON 150 MARTINA (variación 6)
90,30.3,15.2,30.3,2.8,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA (variación 8)
91,23.0,19.5,38.1,1.3,EDREDON POLIESTER 150 PRAGA (variación 5)
92,29.4,5.5,29.4,0.7,RELOJ DE PARED GAIA BLANCO Y NEGRO 20 CM (variación 5)
93,39.0,34.9,11.3,1.0,COLCHA POLIESTER CORINTO 90 VERDE (variación 5)
94,33.0,22.6,3.5,0.4,VISILLO 140X250 SELENA GRIS (variación 1)
95,34.7,17.3,34.7,3.3,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA (variación 5)
96,33.6,16.8,33.6,3.2,CAFETERA DE CÁPSULAS DOLCE GUSTO KRUPS KP2431 GENIO BLANCA (variación extra)
97,40.5,27.7,4.3,0.5,VISILLO 140X250 SELENA GRIS (variación 8)
98,15.1,7.5,24.5,0.7,CUBERTERIA SILVER BLACK 16 PIEZAS (variación 5)
99,6.2,6.2,24.0,0.1,PLANTA ARTIFICIAL LIMONERO 27CM (variación extra)
100,46.7,22.2,42.2,5.6,CAFETERA EXPRESS TAURUS EUFORIA 1450W 20BAR (variación 2)
